CodObr,NumPar,CodPar,Cont,Descri,PreUni,CanPar,RenPar2,FechaIni,CantDias,FechaFin,Seccionada,PartBase,Porcentaje,UniPar,IndIni
"576PDVS2",64,"P0000211",,"CONCRETO DE Fc 200 kgf/cm2 A LOS 28 DIAS, ACABADO CORRIENTE, PARA LA CONSTRUCCION DE ESCALERAS.",2.5544000000000000e+02,6.0000000000000000e+01,1.6000000000000000e+01,"04/27/23 00:00:00",4.0000000000000000e+00,"05/02/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",65,"P0005904",,"CONCRETO DE f´c 250 kgf/cm2 A LOS 28 DIAS, ASENTAMIENTO 5"",  ACABADO CORRIENTE, PARA LOSAS DE FUNDACION.",2.4221999999999997e+02,3.3590000000000000e+03,6.5000000000000000e+01,"04/27/23 00:00:00",5.2000000000000000e+01,"07/07/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",66,"P0000653",,"SUMINISTRO, PREPARACION Y COLOCACION DE MALLA RIGIDA DE 6 MM, DE 10 X 10 PARA REFUERZO DE MUROS PORTANTES Y LOSAS DE ENTREPISO.",1.0539999999999999e+01,1.2500000000000000e+05,1.9000000000000000e+03,"04/27/23 00:00:00",6.6000000000000000e+01,"07/27/23 00:00:00",0,0,0.0000000000000000e+00,"M2.","I"
"576PDVS2",67,"P0005902",,"ENCOFRADO DE MOLDES PARA COLADO MONOLITICO DE MUROS, MARCA WESTERN FORMS O SIMILAR, PARA MURO Y LOSAS DE ENTREPISO Y TECHO",8.5899999999999999e+00,1.6000000000000000e+05,1.0000000000000000e+03,"04/27/23 00:00:00",1.6000000000000000e+02,"12/06/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",68,"P0005815",,"CONCRETO PREMEZCLADO DE f´c 250 kgf/cm2 A LOS 28 DIAS, ASENTAMIENTO 7"", CON BOMBA ACABADO CORRIENTE, PARA MUROS PORTANTES Y TECHOS PLANOS.",2.2762000000000000e+02,1.0800000000000000e+04,9.0000000000000000e+01,"04/27/23 00:00:00",1.2000000000000000e+02,"10/11/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",69,"P0000822",,"IMPERMEABILIZACION EN TECHOS CON PINTURA ASFALTICA",1.9719999999999999e+01,2.0736000000000000e+04,1.5000000000000000e+02,"04/27/23 00:00:00",1.3900000000000000e+02,"11/07/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",70,"P0003174",,"PENDIENTE EN CONCRETO F´C 180KG/CM 2, E=5 CM, EN TECHOS.",1.9000000000000000e+01,1.3136000000000000e+04,1.8000000000000000e+02,"04/27/23 00:00:00",7.3000000000000000e+01,"08/07/23 00:00:00",0,0,0.0000000000000000e+00,"M2","I"
"576PDVS2",71,"*ALBAÑ52",,"CONSTRUCCION DE SOBREPISOS ESPESOR 5 CM",1.9110000000000003e+01,4.0320000000000000e+04,4.0000000000000000e+02,"04/27/23 00:00:00",1.0100000000000000e+02,"09/14/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",72,"P0000696",,"CONSTRUCCION DE PAREDES DE BLOQUES HUECOS DE ARCILLA, ACABADO CORRIENTE, e=15cm NO INCLUYE MACHONES, DINTELES Y BROCALES ",2.3329999999999998e+01,1.8260000000000000e+03,4.5000000000000000e+01,"04/27/23 00:00:00",4.1000000000000000e+01,"06/22/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",73,"P0000726",,"CONSTRUCCION DE REVESTIMIENTO EN PAREDES CON MORTERO A BASE DE CAL, ACABADO LISO. INCLUYE FRISO BASE",7.2999999999999998e+00,1.2380285000000001e+05,1.0000000000000000e+03,"04/27/23 00:00:00",1.2400000000000000e+02,"10/17/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
