CodObr,NumPar,NumSec,Cont,FechaIni,FechaFin,CanPar,CantDias,RenPar2,PartBase,Porcentaje
"576PDVS2",83,1,,"04/27/23 00:00:00","06/20/23 00:00:00",5.7600000000000000e+02,3.9000000000000000e+01,1.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",84,1,,"04/27/23 00:00:00","09/13/23 00:00:00",1.2000000000000000e+05,1.0000000000000000e+02,1.2000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",85,1,,"04/27/23 00:00:00","07/06/23 00:00:00",4.0123000000000000e+04,5.1000000000000000e+01,8.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",86,1,,"04/27/23 00:00:00","06/15/23 00:00:00",1.4400000000000000e+04,3.6000000000000000e+01,4.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",87,1,,"04/27/23 00:00:00","05/20/24 00:00:00",5.5505459999999999e+04,2.7800000000000000e+02,2.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",88,1,,"04/27/23 00:00:00","01/09/24 00:00:00",1.2500000000000000e+04,1.8400000000000000e+02,6.8000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",89,1,,"04/27/23 00:00:00","11/14/23 00:00:00",7.7760000000000000e+03,1.4400000000000000e+02,5.4000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",90,1,,"04/27/23 00:00:00","11/14/23 00:00:00",1.4400000000000000e+05,1.4400000000000000e+02,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",91,1,,"04/27/23 00:00:00","11/09/23 00:00:00",3.9272730000000003e+04,1.4100000000000000e+02,2.8000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",92,1,,"04/27/23 00:00:00","09/15/23 00:00:00",2.5500000000000000e+04,1.0200000000000000e+02,2.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",93,1,,"04/27/23 00:00:00","12/05/23 00:00:00",6.3360000000000000e+03,1.5900000000000000e+02,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",94,1,,"04/27/23 00:00:00","12/05/23 00:00:00",6.3360000000000000e+03,1.5900000000000000e+02,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",95,1,,"04/27/23 00:00:00","10/20/23 00:00:00",6.3360000000000000e+03,1.2700000000000000e+02,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",96,1,,"04/27/23 00:00:00","09/04/23 00:00:00",4.6080000000000000e+03,9.3000000000000000e+01,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",97,1,,"04/27/23 00:00:00","06/06/23 00:00:00",5.7600000000000000e+02,2.9000000000000000e+01,2.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",98,1,,"04/27/23 00:00:00","05/25/23 00:00:00",5.7600000000000000e+02,2.1000000000000000e+01,2.8000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",99,1,,"04/27/23 00:00:00","08/21/23 00:00:00",2.3040000000000000e+03,8.3000000000000000e+01,2.8000000000000000e+01,0,0.0000000000000000e+00
