CodEqu,CodFam,CosEqu,CosDia,Deprec,Transp,FecEqu,Dep01,Provee,Man01,Rep01,PorNacImp,TipEqu,Importado,CodAlt,Descri
"ALB138","00",3.2000000000000000e+01,3.2000000000000001e-01,1.0000000000000000e-02,,"02/05/08 00:00:00",1.00000000e+00,"FERRETERIA DEL ESTE",,,1.0000000000000000e+02,0,0,,"ESCUADRA METALICA ALUMINIO MARCA ESPN (6"
"BOMCON","00",1.5000000000000000e+05,3.0000000000000000e+02,2.0000000000000000e-03,"N","01/31/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BOMBA DE CONCRETO"
"COP038","00",1.6000000000000000e+02,1.6000000000000000e+02,1.0000000000000000e+00,,"01/30/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"MINICARGADOR BOBCAT 763 O SIM (0,38 M3)"
"COP074","00",5.1600000000000000e+04,1.8225000000000000e+02,3.5320000000000000e-03,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CAMIONETA FORD F- 150"
"COP075","00",1.3500000000000000e+05,4.2417000000000002e+02,3.1419999999999998e-03,,"12/22/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CAMION FORD F- 350 ESTACAS"
"COP078","00",2.5000000000000000e+02,2.5000000000000000e+02,1.0000000000000000e+00,,"01/30/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"RETROEXCAVADORA CASE 580 K O SIM"
"ENCOFRAD","00",5.0000000000000000e+05,3.1500000000000000e+03,6.3000000000000000e-03,"N","02/02/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"ENCOFRADO DE ALUMINIO PARA MUROS Y LOSAS (WESTERN FORM)"
"EQUI0001","01",1.8000000000000000e+01,1.7999999999999999e-01,1.0000000000000000e-02,,"04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"ALICATE CRESCENT 8"""
"EQUI0005","00",7.4461400000000003e+03,3.7229999999999997e+01,5.0000000000000001e-03,,"12/18/12 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"ANDAMIO COLGANTE ALBA CON 5O MTS DE GUAYA"
"EQUI0007","00",6.0000000000000000e+01,6.0000000000000000e+01,1.0000000000000000e+00,,"01/30/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"ANDAMIO TUBULAR 2,00 x 1,20 x 1,80 m"
