CodPar,CodIns,CanIns,Deprec,Contad,CodAlt
"P0001013","EQUI0001",1.0000000000000000e+01,1.0000000000000000e-02,30192,
"P0001013","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,30193,
"P0001013","EQUI0073",2.0000000000000000e+00,1.0000000000000000e-02,30194,
"LAI490","PIN013",1.0000000000000000e+00,7.0000000000000007e-02,30029,
"P0000936","EQUI0318",2.0000000000000000e+00,1.0000000000000000e-02,30188,
"P0001017","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30195,
"P0001017","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30196,
"P0001017","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,30197,
"P0001017","EQUI0073",2.0000000000000000e+00,1.0000000000000000e-02,30198,
"P0001042","EQUI0285",1.0000000000000000e+00,1.0000000000000000e-02,30199,
"P0001042","EQUI0299",1.0000000000000000e+00,1.0000000000000000e-02,30200,
"P0001042","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30201,
"P0001042","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30202,
"P0001042","EQUI0175",1.0000000000000000e+00,5.0000000000000001e-03,30203,
"P0001049","EQUI0285",1.0000000000000000e+00,1.0000000000000000e-02,30204,
"P0001049","EQUI0299",1.0000000000000000e+00,1.0000000000000000e-02,30205,
"P0001049","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30206,
"P0001049","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30207,
"P0001049","EQUI0175",1.0000000000000000e+00,5.0000000000000001e-03,30208,
"P0001049","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30209,
"P0001049","EQUI0363",1.0000000000000000e+00,3.0000000000000001e-03,30210,
"P0001053","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,30211,
"P0001053","EQUI0217",2.0000000000000000e+00,1.0000000000000000e-02,30212,
"P0001053","EQUI0001",4.0000000000000000e+00,1.0000000000000000e-02,30213,
"P0001053","EQUI0116",4.0000000000000000e+00,1.0000000000000000e-02,30214,
"P0001053","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,30215,
"P0001053","EQUI0073",2.0000000000000000e+00,1.0000000000000000e-02,30216,
"P0001171","EQUI0025",1.0000000000000000e+00,1.0000000000000000e-02,30217,
"P0001171","EQUI0074",1.0000000000000000e+00,1.0000000000000000e-02,30218,
"P0001171","EQUI0177",1.0000000000000000e+00,1.0000000000000000e-02,30219,
"P0001171","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,30220,
"P0001171","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30221,
"P0001171","EQUI0020",1.0000000000000000e+00,1.0000000000000000e-02,30222,
